Gene	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4
FEX_0002264	1064.00	963.78	483.94	635.65	803.98	909.81	948.03	492.73
FEX_0002265	1213.22	864.19	604.45	922.01	1204.94	1228.78	1315.81	1535.28
FEX_0002266	396.71	538.51	388.59	458.07	443.70	392.65	402.99	174.76
FEX_0002267	101.07	149.29	141.96	197.91	207.36	388.57	160.20	130.95
FEX_0002268	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002269	34.00	19.00	21.00	27.00	19.00	39.00	20.00	16.00
FEX_0002270	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002271	28.00	3.00	35.00	38.00	1.00	9.00	30.00	9.00
FEX_0002272	4.00	3.00	14.00	7.00	0.00	1.00	0.00	3.00
FEX_0002273	14.00	6.00	21.00	7.00	7.00	3.00	16.00	3.00
FEX_0002274	38.00	13.00	37.00	25.00	9.00	23.00	37.00	10.00
FEX_0002275	0.00	0.00	0.00	0.00	2.00	0.00	4.00	0.00
FEX_0002276	18.87	16.67	2.00	2.19	0.00	0.00	5.51	2.61
FEX_0002277	12.00	1.00	29.00	3.00	4.00	0.00	8.00	12.00
FEX_0002278	0.00	2.33	1.00	8.81	3.00	5.00	4.49	5.39
FEX_0002279	21.00	5.00	12.00	19.00	15.00	23.00	27.00	17.00
FEX_0002281	11.00	0.00	21.00	16.00	5.00	13.00	39.00	11.00
FEX_0002282	0.00	0.00	0.00	0.00	0.00	0.00	2.36	0.00
FEX_0002283	0.00	1.00	1.00	3.00	1.00	13.00	6.64	2.00
FEX_0002284	81.46	99.66	455.19	108.70	71.29	79.15	78.53	39.31
FEX_0002285	1054.59	1330.38	943.67	1114.30	854.05	1145.59	725.91	677.94
FEX_0002286	1705.43	1936.85	1809.05	1679.58	1071.28	1478.18	993.02	840.76
FEX_0002287	29.50	2.11	83.45	24.25	0.00	28.25	5.17	11.11
