Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0010174	2276.92	2310.89	2375.28	1816.62	3802.78	3018.61	2718.76	1125.39
FEX_0010175	2017.26	1945.03	2618.19	2181.76	2116.85	1967.93	3014.09	694.40
FEX_0010176	374.26	346.06	564.69	552.80	243.69	295.82	495.15	40.56
FEX_0010177	291.74	240.94	251.32	269.81	589.31	467.18	274.38	237.44
FEX_0010178	6.00	8.00	4.00	7.00	2.00	1.00	3.00	1.00
FEX_0010179	303.00	377.00	246.00	106.00	859.00	649.00	431.00	545.00
FEX_0010180	3.01	20.04	16.12	7.78	5.01	15.03	14.11	5.99
FEX_0010181	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00
FEX_0010182	5.01	30.04	51.02	28.00	13.65	25.00	7.01	20.14
FEX_0010183	2.00	4.00	5.00	1.00	22.00	0.00	5.00	18.00
FEX_0010184	0.00	0.00	0.00	69.36	0.00	21.91	0.00	3.63
FEX_0010185	89.65	153.31	133.64	0.00	127.31	94.66	131.92	107.78
FEX_0010186	14.00	54.00	62.00	16.00	15.00	18.00	17.00	19.00
FEX_0010187	13.00	25.00	76.00	36.00	4.00	29.00	17.00	25.00
FEX_0010188	229.56	206.17	119.84	122.50	144.75	263.01	167.69	85.10
FEX_0010189	344.00	395.00	322.00	264.00	396.00	395.00	375.00	84.00
FEX_0010190	18.00	45.00	28.00	19.00	26.00	33.00	24.00	32.00
FEX_0010191	260.44	330.80	148.40	159.50	615.14	587.83	406.19	414.34
FEX_0010192	1104.00	1041.00	1048.00	564.00	1767.00	1200.63	1456.00	454.00
FEX_0010193	869.28	763.61	800.29	456.24	2247.85	1398.95	1572.02	548.40
FEX_0010194	1025.07	760.68	768.43	801.09	388.10	538.07	882.96	16.83
FEX_0010195	499.64	728.60	897.82	334.33	656.47	732.34	670.75	613.97
FEX_0010196	13.00	16.00	14.00	16.00	10.00	14.00	24.00	7.00
FEX_0010197	234.70	374.14	302.85	222.37	402.86	727.86	390.04	383.70
FEX_0010198	6.00	25.00	8.00	4.00	50.00	23.00	22.04	174.41
FEX_0010199	1.00	6.35	9.00	1.00	0.00	10.00	2.04	2.00
FEX_0010200	4.00	16.78	44.71	11.34	36.00	12.99	4.14	1.00
FEX_0010201	3.00	2.88	12.05	1.00	1.00	5.00	1.00	3.00
FEX_0010202	3.00	18.00	17.00	9.00	12.00	10.00	23.00	6.00
FEX_0010203	8.41	12.10	25.00	13.00	1.02	9.00	17.34	13.39
FEX_0010204	2.00	1.00	4.59	1.72	1.00	2.10	0.97	0.00
FEX_0010205	0.00	0.00	0.00	2.00	0.00	0.00	0.00	3.77
FEX_0010206	36.36	82.87	70.86	53.04	98.74	64.70	55.39	64.42
FEX_0010207	469.65	719.23	437.50	495.47	767.08	539.75	604.92	596.56
FEX_0010208	1129.99	997.25	1278.14	1061.50	551.17	669.55	1133.64	70.92
FEX_0010209	608.99	646.81	401.00	299.00	1334.00	1126.00	1090.43	448.00
