Gene	OQ1	OQ2	OQ3	OQ4	YQ1	YQ2	YQ3	YQ4
FEX_0002985	921.29	640.35	1062.53	632.86	864.78	962.86	631.11	874.54
FEX_0002986	37.71	46.65	78.47	42.14	46.22	70.14	39.89	77.46
FEX_0002987	1830.17	1861.17	1731.60	2457.29	1965.86	4221.54	3002.74	4329.23
FEX_0002988	821.83	769.83	1302.38	864.71	887.14	1229.45	933.26	1329.77
FEX_0002989	9.00	0.00	2.00	4.00	1.00	1.00	0.00	1.00
FEX_0002990	6.00	2.00	8.68	5.00	3.00	3.07	1.00	2.28
FEX_0002991	39.00	17.00	23.00	12.00	19.00	7.00	4.00	5.00
FEX_0002992	2035.42	1013.72	298.54	479.72	285.22	251.61	142.42	301.27
FEX_0002993	1295.42	442.23	241.96	421.15	462.60	384.61	452.56	216.59
FEX_0002994	53.16	24.06	51.52	36.13	22.17	53.78	10.01	12.14
FEX_0002995	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.00
FEX_0002996	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
FEX_0002997	1224.82	1130.92	551.87	871.43	901.25	670.23	480.37	1088.88
FEX_0002998	0.00	3.00	24.00	2.00	6.00	13.00	50.00	4.00
FEX_0002999	10.00	2.00	23.00	14.00	3.00	4.00	1.00	9.00
FEX_0003001	55.68	37.13	9.95	34.46	54.74	34.23	59.31	19.67
FEX_0003002	271.44	201.96	237.83	277.30	360.69	214.86	303.88	240.82
FEX_0003003	998.20	662.78	385.58	546.05	501.14	586.51	642.36	632.36
FEX_0003004	62.98	133.32	84.57	71.53	43.64	42.30	10.27	106.79
