Gene	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0008222	16.00	6.00	2.00	1.00	0.00	9.00	5.01	5.00
FEX_0008223	40.00	30.00	15.00	19.00	34.00	22.00	21.00	13.00
FEX_0008224	63.83	75.14	45.89	51.98	58.08	36.46	63.85	34.12
FEX_0008225	1650.17	1647.86	767.11	1604.02	1136.92	1732.54	1318.15	324.88
FEX_0008226	21.85	31.09	5.74	11.48	11.48	10.11	10.36	12.59
FEX_0008227	4.15	9.91	7.26	4.52	15.52	16.89	24.64	7.41
FEX_0008228	594.00	887.00	285.00	538.00	1292.00	1058.00	780.00	1227.00
FEX_0008229	3290.77	1898.44	1806.83	1342.72	1861.97	1771.07	2129.27	637.20
FEX_0008230	528.83	436.71	618.00	429.11	363.17	513.10	691.57	90.19
FEX_0008231	683.81	609.85	484.44	631.11	969.53	534.90	472.51	304.61
FEX_0008232	3109.60	4454.00	2113.00	3500.12	7278.65	4877.93	5470.69	7831.00
FEX_0008233	68.00	218.99	92.00	208.00	570.00	398.00	316.00	429.99
FEX_0008234	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0008235	8.00	10.00	6.00	13.00	7.00	21.00	31.00	11.00
FEX_0008236	2.00	1.00	0.00	1.00	1.00	1.00	1.00	0.00
FEX_0008237	7.00	5.01	5.00	15.00	2.00	9.00	9.00	6.01
FEX_0008238	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008239	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0008240	3.00	4.00	2.00	5.00	0.00	1.00	1.00	4.00
FEX_0008241	2.00	2.00	7.00	8.00	2.00	1.00	2.00	2.00
FEX_0008242	0.00	1.00	5.00	10.00	0.97	4.04	8.00	2.00
FEX_0008243	1.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0008244	0.00	1.00	0.00	2.00	0.00	0.00	1.00	1.00
FEX_0008245	12.85	10.51	10.83	20.09	4.00	9.29	17.07	4.79
FEX_0008246	3.14	7.86	1.37	2.79	0.00	10.27	2.68	7.21
FEX_0008247	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008248	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008250	10.64	12.63	9.67	16.30	3.00	35.78	23.69	1.43
FEX_0008252	47.96	11.96	151.12	14.73	17.00	49.00	169.00	103.87
FEX_0008253	2.00	2.00	0.00	0.00	0.00	4.00	4.06	1.00
FEX_0008254	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
FEX_0008255	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008256	3.21	2.01	6.41	10.59	2.00	14.31	0.00	3.04
FEX_0008257	1.00	1.00	0.00	0.00	0.00	0.00	1.92	1.00
FEX_0008258	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008259	3.00	2.00	1.00	10.00	4.00	9.00	8.00	1.00
FEX_0008260	7.00	4.02	8.64	7.00	3.00	12.81	8.00	14.86
FEX_0008261	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008262	2.00	0.00	8.00	1.00	0.00	1.00	42.00	1.00
FEX_0008263	29.90	9.34	148.52	14.90	12.68	63.37	280.47	45.48
FEX_0008264	6.38	4.00	0.00	7.00	1.00	13.00	12.00	1.05
FEX_0008265	36.10	7.67	54.48	29.15	9.32	38.62	120.54	24.04
FEX_0008266	2756.23	3561.17	475.00	2720.78	253.59	746.53	427.64	164.47
FEX_0008267	194.75	265.83	202.00	211.22	222.41	359.47	168.36	58.53
FEX_0008268	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
FEX_0008269	0.00	0.00	0.00	5.00	0.00	6.00	1.00	1.00
FEX_0008270	18.58	6.00	4.95	18.39	0.00	22.37	14.27	9.87
FEX_0008271	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
FEX_0008272	0.00	0.00	0.00	1.00	0.00	0.00	1.02	0.00
FEX_0008273	0.90	11.00	0.00	7.14	2.61	5.69	11.59	3.87
FEX_0008274	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00
FEX_0008275	10.51	6.31	17.98	14.72	2.66	19.62	11.92	15.80
FEX_0008276	22.48	4.38	11.68	14.72	0.00	29.41	27.03	24.21
