cluster	EQ1	EQ2	EQ3	EQ4	EQ5	EQ6	EW1	EW2	EW3	EW4	EW5	EW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0012909	NA	NA	NA	NA	NA	2	NA	0.34	NA	NA	NA	1.11	NA	NA	NA	NA	NA	NA	NA	0
FEX_0012910	0.68	0.22	0.28	1.67	0.24	1.4	0.05	0.36	0.32	0.37	0.45	0.44	0.25	0.05	0.05	0.34	0.11	0.83	0.08	1.09
FEX_0012911	0.63	0.24	0.34	1.48	0.24	1.4	0.06	0.33	0.31	0.37	0.43	0.43	0.23	0.04	0.04	0.34	0.11	0.64	0.06	1.01
FEX_0012912	0	0.39	0.41	0	NA	NA	0.05	0	0	0.2	0.6	0.98	0	1	0	0	0.2	0.15	0.15	0.23
FEX_0012913	0	0	0.24	1.23	NA	1.95	0	0.25	0.26	0.34	0.47	0.78	0	0	0	NA	NA	0.46	0	0.31
FEX_0012914	0.18	0.22	0.24	0.46	0.13	2.66	0.92	0.26	0.6	0.12	0.43	1.28	0.33	0.1	0.01	0.15	0.03	0.44	0.1	0.48
FEX_0012915	0.18	0	0.41	0	0.14	1.58	0	0	0.1	0	0.06	0.25	0	0.53	0	0	0.11	0.18	0	0
FEX_0012916	0.18	0	0.41	0	0.14	1.58	0	0	0.1	0	0.06	0.25	0	0.53	0	0	0.11	0.18	0	0
FEX_0012917	0	NA	NA	NA	0.08	NA	0	0	NA	0.31	0.18	0	0	0.27	NA	0.08	NA	0	NA	0
FEX_0012918	NA	NA	NA	NA	NA	NA	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	NA	NA	0
FEX_0012919	NA	NA	NA	NA	NA	NA	0.41	0	0.33	0	0	NA	0.12	NA	0	0.06	NA	NA	NA	0
FEX_0012920	0.2	0.4	0.2	0.68	2.45	1.4	0.23	0.36	0.34	1.5	0.38	0.21	0.21	0.2	0.06	0.14	0.06	0.42	0.19	0.45
FEX_0012921	0.2	0.4	0.2	0.68	2.45	2.82	1.59	1.05	1.63	1.47	1.74	1.33	0.21	1.81	4.31	0.14	0.07	0.42	1.63	0.45
FEX_0012922	0	0	NA	0.34	NA	NA	0.49	0	0	0	NA	0	NA	0	NA	0	0	0	0	0
FEX_0012923	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012924	0	NA	0	1.43	0.17	NA	NA	0	NA	0.56	0	NA	NA	0	NA	NA	0	0.22	0.09	0
FEX_0012925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012927	NA	2.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.18	0	0.1	0.07	NA	NA	0
FEX_0012930	0	0	0	NA	NA	4.5	NA	NA	0	NA	0.39	NA	0	0	0	0.04	0.1	0	NA	0
FEX_0012931	NA	0.38	NA	NA	NA	NA	0	0.18	NA	0	NA	0.24	NA	NA	NA	NA	NA	0.27	0	0
FEX_0012932	NA	0	NA	NA	NA	4	0.91	0.31	NA	3.12	NA	0	0.55	0.03	NA	0.07	0.12	NA	NA	NA
FEX_0012938	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0012939	4.17	0	NA	NA	NA	NA	0	NA	0	0.92	NA	NA	0	0	NA	0	0	31.75	NA	NA
FEX_0012940	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012941	0.25	0.17	0.2	0.15	0	1.55	0.3	0.36	0.31	0.29	0.25	0.3	0.08	0.18	0.04	0	0	0.12	0.43	0.26
FEX_0012942	0.11	0.14	NA	NA	0	3.02	0	0.38	0.57	NA	NA	0.28	0.08	0	0	NA	0	NA	NA	0.32
FEX_0012943	0.42	0	NA	NA	0	3.01	0.15	0.68	0.46	NA	NA	NA	0	0.96	0	NA	NA	0.37	0.22	0.48
FEX_0012944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0012945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0012946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0
FEX_0012947	0.37	0.15	0	0.38	0.31	NA	0.42	0.2	0.2	0.4	0	NA	0	0	0	0	0	NA	0	0
