cluster	EQ1	EQ2	EQ3	EQ4	EQ5	EQ6	EW1	EW2	EW3	EW4	EW5	EW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0002025	NA	0.89	0.08	NA	NA	NA	0	0	NA	NA	NA	NA	0.05	0	NA	0.05	0.02	0	1.19	0
FEX_0002026	0	NA	1.04	NA	NA	1.6	0.3	NA	0	0	0	0.33	0.05	0	NA	NA	NA	0	NA	0
FEX_0002027	0.06	NA	0.52	0.71	NA	0.74	0.16	0	0	0.57	0.28	0.35	0.05	0.03	NA	0.11	NA	0	0.48	0
FEX_0002028	0	NA	NA	NA	0.11	0.76	NA	NA	NA	NA	0.47	NA	0	NA	NA	NA	NA	0	NA	0
FEX_0002029	0	NA	NA	NA	NA	NA	0.31	NA	NA	NA	0	NA	0	0	NA	NA	0	NA	NA	NA
FEX_0002030	0	NA	NA	NA	NA	NA	0.31	NA	NA	NA	0	NA	0	0	NA	NA	0	NA	NA	NA
FEX_0002031	0	0	1.56	NA	NA	0	0.98	0.06	0.23	NA	0.14	0	0.06	0	0	0.08	NA	0	0	0.42
FEX_0002032	NA	0	NA	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	1.79
FEX_0002034	NA	0	0	0.41	NA	NA	0	0	NA	NA	0.25	0.13	0.47	0	0	0.08	0	0.95	0.3	0.13
FEX_0002035	NA	NA	NA	NA	0	1.25	0	NA	NA	0	NA	NA	NA	0	NA	NA	0	0	NA	0
FEX_0002037	0	NA	NA	0	0.06	NA	0.51	100	33.33	NA	0.41	NA	NA	NA	NA	NA	0.16	99.33	NA	25.21
FEX_0002038	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA
FEX_0002039	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	0	0	0	0.11	NA	1.67	NA	0
FEX_0002040	0.24	0	0.18	0.17	0	2.36	0.19	0.46	0	0.21	0.2	1.99	0	0.19	0.02	0.12	0.12	0.4	0.82	0.14
FEX_0002041	0.71	0	0.27	0.07	0.12	1.16	0.19	0.27	0	0	0.18	0.22	0	0	0	0.6	0.33	0.07	0.4	0.11
FEX_0002042	0.93	0	0.13	NA	NA	1.19	0	0	0	NA	NA	0.32	NA	0	NA	0.04	NA	0.05	NA	0.26
FEX_0002043	0.07	0.18	0.12	0.32	0.09	1.28	0.24	0.2	0.21	0.2	0.11	0.02	0.3	0.05	0.14	0.08	0.06	1.61	0.1	0.13
FEX_0002044	0.02	0.18	0.56	0	0	2.73	0.32	0.61	0.37	0.37	0.4	1	0.18	0	0.11	0	0.09	0.14	0	0.07
FEX_0002045	0	NA	NA	0	NA	NA	0	NA	0.32	NA	NA	0.46	0	0	NA	NA	NA	0	NA	0
FEX_0002046	0	0	0.51	NA	0	1.49	0.36	0.92	0.39	0.05	0.19	0.32	0.3	0	0.18	0	0.13	0.22	NA	0.1
FEX_0002047	0.08	0.13	0.04	0.25	0.2	1.51	0.2	0.41	0.24	0.23	0.6	0.26	0.2	0.44	0.02	0.15	0.07	0.2	0.1	1.01
FEX_0002048	0.07	NA	0.28	0.82	NA	NA	0.11	0.13	0.47	0.13	NA	1.19	0.26	0	0.13	0	0	0	NA	1.11
FEX_0002049	0.07	NA	0.28	0.82	NA	NA	0.11	0.13	0.47	0.13	NA	1.19	0.26	0	0.13	0	0	0	NA	1.11
FEX_0002050	NA	NA	NA	NA	NA	NA	0	0	0.3	NA	NA	NA	NA	0.77	NA	0.1	0	NA	NA	0
FEX_0002051	0.2	0.15	0.07	0.04	0.19	1.12	0.05	0.21	0.28	0.06	0.25	0.36	0.13	0	0.02	0.06	0.04	0.09	0.34	0.18
FEX_0002052	0.11	14.4	0.29	0	0.23	NA	0.16	0.29	0.19	0	NA	0.23	0.02	0.04	0	0.25	100	0.6	0	0.09
FEX_0002053	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	0.05	0	NA	NA	0	0.14	0	0
FEX_0002054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA
FEX_0002056	NA	1.74	NA	NA	NA	3.45	0	0.6	0.28	NA	0.32	0.46	0	0	0	NA	NA	0.25	0.43	0.67
FEX_0002057	NA	1.74	NA	NA	NA	3.45	0	0.6	0.28	NA	0.32	0.46	0	0	0	NA	NA	0.25	0.43	0.67
FEX_0002058	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	2.17	NA	NA	NA	NA	0	NA	NA
FEX_0002059	NA	0	NA	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002060	NA	NA	0	0	NA	0.31	0.93	0	NA	NA	NA	0.32	NA	0	NA	NA	NA	NA	0	0
FEX_0002061	0.15	0.19	0.14	0.61	0.81	2.03	0.19	0.3	0.31	0.36	0.31	0.57	0.39	0.24	0.05	0.15	0.06	0.21	0.34	0.27
FEX_0002062	0.04	0.28	0.23	0.33	0	2.18	0.18	0	2.89	0	0.28	0.31	0	0	0.32	NA	0.26	0	0.16	0.09
FEX_0002065	0	0	0	0.26	NA	3.1	0.57	0.41	0.12	0.07	0	0.57	0.35	0.03	0	0.19	0.06	0	0	1.18
FEX_0002066	0.13	0.27	0.2	0.46	0.44	1.79	0.17	0.31	0.38	0.27	0.42	0.4	0.28	0.15	0.07	0.16	0.05	0.15	0.28	0.37
FEX_0002067	0	0	0.34	0	0.35	1.78	0.54	0.16	0	NA	0	0.98	0.24	4.1	NA	0.19	NA	0.31	0.1	0
FEX_0002068	1.18	1.75	1.17	0.54	1.74	2.21	0.34	0.23	0.86	0.17	0.89	0.26	0.31	0.27	0.05	0.1	0.06	0.64	0.28	0.6
FEX_0002069	0.19	0.2	0.42	0.45	5.86	1.61	1.08	0.26	0.42	0.26	0.34	0.58	0.25	0.01	0.07	0.06	0.16	0.44	0.16	0.15
FEX_0002070	0	0.22	0.34	0.47	0.23	1.02	0.71	0	0.21	0.12	0.3	0.14	0.23	0	0	NA	0	0	NA	0.37
FEX_0002071	0	NA	0.28	0	0	2.37	0	0	0.21	0.28	0.43	0.11	0.04	0	NA	0.17	0	NA	0	0
FEX_0002072	0	NA	0.28	0	0	2.37	0	0	0.21	0.28	0.43	0.11	0.04	0	NA	0.17	0	NA	0	0
FEX_0002073	0	NA	0	0.92	NA	2.73	0.26	0.19	0.15	0	0	0.63	0	0	NA	0	0	0.16	0	0.2
FEX_0002074	0.14	NA	0	5.68	0.86	0.91	0.33	0.16	0.15	0	0	0	0.27	0	0	0	0.81	NA	NA	0.5
FEX_0002075	0	0	0.52	0.24	0.62	3.12	0.1	0.02	0.19	0.3	0.3	0.03	0.05	0.1	0	0.09	0.02	0.37	NA	0.38
FEX_0002076	0.1	NA	NA	NA	1.89	1.97	0.97	0.04	0	0.82	0	0.75	0	0	0	0	0.23	0.08	0	0.05
FEX_0002077	0.1	NA	NA	NA	1.89	1.97	1.43	0.04	0	0.82	0	0.75	0	0	0	0	0.23	0.08	0	0.05
FEX_0002078	0	NA	1.31	NA	NA	NA	0	0	0.32	NA	0.78	0.24	0.22	2.02	0.03	0	0	0.9	NA	0
FEX_0002079	0.06	0.23	0.6	0	0.05	0.47	0.42	0.08	0.35	0.09	0	0	0.03	0	0.09	0.52	0	0.08	0.25	0
FEX_0002080	0.06	0.23	0.6	0	0.05	0.47	0.42	0.08	0.35	0.09	0	0	0.03	0	0.09	0.52	0	0.08	0.25	0
FEX_0002081	0.16	0.17	0.21	0.69	0.14	1.55	0.53	0.41	0.33	0.07	3.53	0.18	0.4	0	0.04	0.05	0.05	0.31	0.26	0.92
FEX_0002082	0.24	0.5	0.19	0.11	NA	1.83	0.41	0	0.23	0.12	0.31	0	0.51	0	NA	0	0.06	0	0.07	0.44
FEX_0002083	0	0.07	0	0.62	0.25	5.22	0.32	0.4	1.36	0	1.56	0.17	0.97	0	NA	0	NA	0.2	0.48	2.7
FEX_0002084	0	0	0	NA	0.19	5.22	0.39	0	0	0	1.56	0	1.1	0	NA	NA	NA	0	0.13	0
FEX_0002085	0	0	0	NA	0.19	5.22	0.39	0	0	0	1.56	0	1.1	0	NA	NA	NA	0	0.13	0
FEX_0002086	0.17	0.26	0.22	0.47	4.66	1.66	0.16	0.18	0.22	0.41	0.45	0.41	1.44	0.01	0.04	0.17	0.09	0.29	0.36	0.41
FEX_0002087	0	0	NA	0.43	NA	NA	0.2	0.44	0.96	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0
FEX_0002088	0.07	0.4	0.12	0.7	0.19	1.66	0.12	0.17	0.19	0.57	0.46	0	2.08	0.01	0.05	0.13	0.05	0.16	0.44	0.44
FEX_0002090	0.17	0.32	0.11	1.39	0.14	2.52	0.21	0.34	0.11	0.34	0.45	0.15	0.17	0	0.05	0.02	0	0.44	0.05	0.26
FEX_0002091	NA	0	0	0.21	NA	1.78	0	0	0	NA	0	0	0	0	0	0	0	0.54	0	0.13
FEX_0002092	0.35	0.66	0.1	3.66	0.12	2.86	0.37	0.43	0.21	0.31	0.71	0.16	0.32	0	0.08	0.04	0	0.41	0	0.45
FEX_0002093	0.2	0.31	0.11	0.57	0.11	2.47	0.18	0.03	0.15	0.55	0	0	0.11	0.1	0	0.11	10.83	0.47	9.3	0.43
FEX_0002094	0.48	NA	0	1.14	NA	0	NA	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
FEX_0002095	NA	50	0.22	0	NA	2.73	NA	43.67	0	100	0.21	0	50	100	0	NA	0	0.11	NA	0
FEX_0002096	0.58	0.46	0	2.46	0.33	7.16	0.12	1.9	3.86	0.08	0.32	2.1	2.19	1.6	0.06	0.03	0.06	0.41	0.21	0.4
FEX_0002097	0	28.92	0	33.35	NA	30.2	42.86	14.56	33.54	19.2	NA	32.8	25.75	70.59	NA	0	NA	28.57	0.22	0.78
FEX_0002100	0.05	25.13	0.14	0	0.4	0.85	0.41	0.67	NA	0.4	0.51	0	0.09	0.06	0.11	NA	0.06	0.28	NA	0
FEX_0002101	0	0	NA	0	NA	NA	1.51	5	NA	NA	0	0	0.21	0	NA	NA	NA	0	0.12	NA
FEX_0002102	0.05	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08	NA	NA	NA	0.16	NA	NA	NA
FEX_0002103	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002104	0	0.76	0	0	NA	1.7	0	NA	NA	0.56	NA	NA	1.63	0	NA	NA	NA	0	0	0
FEX_0002105	0	0.76	0	0	NA	1.7	0	NA	NA	0.56	NA	NA	1.63	0	NA	NA	NA	0	0	0
FEX_0002106	NA	0	NA	NA	NA	NA	0	0	NA	NA	NA	0.32	NA	NA	NA	NA	NA	NA	NA	0
FEX_0002107	0.11	0.24	0.45	0	0	NA	0	0.38	0	0	0	0.28	0.18	0	NA	NA	0	1.3	0	0.18
FEX_0002108	0	0.7	0	0.74	NA	1.37	0	0.6	0.09	0.18	0	0	0.11	0	NA	NA	0.22	0.5	1.43	0.69
FEX_0002109	0.18	0.52	0.1	1.39	0.1	1.23	5.13	0.4	0.16	0.1	6.02	6.51	4.34	0.07	0.17	0.09	0.14	5.86	0.64	2.11
FEX_0002110	0.15	0.37	0.17	2.04	NA	1.6	16.79	0.74	0	0	24.51	14.84	15.12	0.22	0	0.05	0	22.53	NA	10.03
FEX_0002111	0.08	0.14	0.03	0.26	0.09	5.77	0.21	0.29	0.13	0.15	0.34	1.4	0.18	4.12	NA	0.11	0	0.37	0.12	1.17
FEX_0002112	0.44	0.33	0.21	0.25	0.49	1.83	0.02	0.28	0.14	0.14	0.46	0.24	0.07	0.13	0.09	0.12	0.37	0.19	0.43	0.48
FEX_0002113	0.08	0.14	0.03	0.26	0	5.77	0.2	0.29	0.13	0.15	0.34	1.4	0.18	4.8	NA	0.11	0	0.52	0.12	1.17
FEX_0002114	0	0.12	33.33	0.62	0.22	NA	0.07	0.26	27.4	NA	0	2.85	0	0.08	16.72	0.45	0.85	0.37	0.71	6.25
FEX_0002115	0.3	0.12	50	0.83	0.22	2.27	0	0.42	40.17	NA	0	0.33	0.12	5.56	50.17	1.39	0.26	0.49	0.38	6.06
FEX_0002116	0.35	0	0.06	0	0.32	3.56	0	0.38	0.23	NA	0.12	0.24	0.12	0.08	NA	NA	0.07	0.33	0	0.66
FEX_0002117	NA	NA	NA	NA	NA	NA	33.84	NA	NA	NA	NA	NA	21.57	NA	NA	NA	NA	NA	NA	NA
FEX_0002118	NA	0	0	32.48	11.8	NA	48.87	0	0	33.33	0.76	0	0	0	0	0	0	0	0.08	12.5
FEX_0002119	0.07	0.36	0	32.48	0.8	0.36	10.86	0.32	0	0.18	0.31	0.3	0.35	0	0.07	0.02	NA	0	0.47	6.25
FEX_0002120	3.65	0.38	7.75	0.05	0.39	1.11	2.97	2.49	0.27	12.54	0.11	0.18	4	1.34	11.83	0.03	5.4	0.22	0.2	1.81
FEX_0002121	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0
FEX_0002122	2.37	NA	NA	0.77	0	NA	0	0	0.09	0	NA	NA	0	NA	NA	NA	0	NA	NA	0
FEX_0002123	0.01	0.1	0	0	0.6	1.33	0.07	0.19	0.08	0	0	0.66	0.22	0	NA	0	0	0.28	0	2.13
FEX_0002124	0.54	0	NA	NA	NA	NA	0	0	0.18	NA	0	0	0	NA	NA	NA	NA	NA	NA	0
FEX_0002125	0	0	0	0.35	0	0.82	0.76	0.76	0.6	0.38	0.07	0	0.14	0.04	0.54	NA	0	0.06	0.34	0.15
FEX_0002126	0	0	0	NA	NA	0.94	2.13	0.89	NA	0.11	NA	0	0.21	0	NA	NA	0	NA	0	0
FEX_0002127	NA	NA	NA	NA	NA	2.94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002129	0	0	NA	0.28	0	NA	0	0	NA	0.58	0	NA	0	0	0	0	NA	0	0	0
FEX_0002130	NA	NA	NA	NA	NA	NA	0	NA	NA	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002131	0	NA	NA	NA	NA	NA	0.56	1.06	NA	NA	0	0.4	0.5	NA	NA	NA	NA	NA	NA	NA
FEX_0002132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0002133	0.42	0.16	0.08	0.64	0.22	0.54	0.1	0.56	0.04	0.43	0.08	0.26	0.04	0.09	0.09	0.06	0	NA	0	0
FEX_0002134	0.08	0.17	0.05	0	NA	0.74	0.23	0.44	0.46	0	0	0.4	0.19	0	NA	0.09	0	0.28	0	2.13
FEX_0002135	NA	NA	0.94	NA	NA	0.89	0	NA	0.42	0	NA	0	0	NA	NA	NA	0	0.93	NA	0
FEX_0002136	NA	NA	0.94	NA	NA	0.89	0	NA	0.42	0	NA	0	0	NA	NA	NA	0	0.93	NA	0
FEX_0002137	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0
FEX_0002138	0.22	1.16	0	0.22	0	0.88	0.18	0.22	0.05	0.24	0	0	0.1	0	0	0.18	4.63	0.46	0	0.11
FEX_0002139	NA	NA	NA	NA	NA	0	0	1.01	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
FEX_0002142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0002143	NA	NA	NA	NA	NA	NA	NA	19.1	NA	NA	NA	NA	0.13	NA	0	NA	NA	NA	NA	NA
FEX_0002144	0.06	0.34	0.04	0.39	NA	2.54	0.21	2.36	0.18	0.05	0.74	0.52	0.16	0.17	0.01	0	0.15	0.24	0.12	0.16
FEX_0002146	0	0.19	0.35	0.14	0.34	1.81	NA	0.24	0	0	0	0	10.54	0.02	0	NA	0	NA	0	NA
FEX_0002147	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA	NA	NA	NA	0.1	NA	NA	NA
FEX_0002148	NA	NA	0	NA	0	0	0	NA	NA	0	NA	0	4.48	NA	NA	0	NA	0	0.18	0
FEX_0002149	0	0.38	0.28	NA	0	NA	0	0	0.18	NA	1.11	0	1.08	0	0.29	NA	0	0	0.17	0
FEX_0002150	0.01	1.06	0	NA	0.06	2.37	0.31	0.56	0	0	0.45	0.24	0	0.02	0	0.14	NA	0.5	NA	0
FEX_0002151	NA	NA	NA	NA	NA	NA	0	0	0	1.47	NA	NA	NA	NA	NA	0	NA	0	NA	0
FEX_0002152	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1.45	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0002153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002154	NA	NA	NA	NA	NA	3.21	0	NA	NA	NA	NA	NA	NA	0	NA	0	0.06	NA	NA	0
FEX_0002155	NA	2.06	0	0.38	NA	2.62	NA	0	NA	0	NA	NA	0.09	0	NA	0	NA	0	0	0
FEX_0002157	NA	NA	NA	NA	NA	NA	0.14	0.2	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0
FEX_0002158	NA	0	0	NA	NA	0	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49	NA	NA
FEX_0002159	0	0	NA	NA	NA	1.28	0	0	0	NA	0	NA	NA	NA	NA	NA	0	NA	0	NA
FEX_0002165	NA	0.11	NA	NA	NA	NA	NA	0.29	NA	NA	NA	NA	0.25	NA	0.22	NA	NA	NA	NA	0.22
FEX_0002166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	0.32
FEX_0002168	0.05	0.1	0.66	0	NA	4.64	0.34	0.14	0.47	0	0.43	0	9.79	0.84	0.23	NA	0.11	0.46	0	0.18
FEX_0002169	0	0.1	NA	0	NA	3.35	0	0	NA	NA	1.3	NA	NA	NA	0	NA	NA	NA	NA	0.39
FEX_0002170	NA	NA	0.19	NA	NA	NA	2.16	0.3	0.36	NA	NA	NA	30.99	0	NA	NA	NA	0	0	0
FEX_0002171	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0002174	0.08	0.41	0	0	0.46	NA	0	0.66	0	NA	0.36	0	0.12	0.16	NA	NA	0.06	0	0.21	0.6
FEX_0002175	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002176	0	0	0	50	0	NA	0	0.76	1.07	0	0	0.31	0	NA	NA	NA	NA	0.3	NA	0
FEX_0002177	0	0	NA	NA	0	NA	0	NA	1.07	0	0	0.31	NA	NA	NA	NA	NA	0.3	NA	NA
FEX_0002178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0002181	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	10.07	2.56	0	NA	0	NA	NA	NA	NA
FEX_0002184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA
FEX_0002186	NA	NA	NA	2.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.56
FEX_0002187	NA	NA	NA	2.63	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA	NA	NA	0	NA	NA	0.56
FEX_0002188	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002190	NA	NA	NA	NA	NA	NA	NA	0	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0002191	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002192	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0002194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.04	NA	NA	NA	NA	NA	NA	NA
FEX_0002195	39.55	37.5	40.12	NA	0	0.86	6.66	0.86	66.72	0.9	NA	11.77	21.82	0	NA	40	0	9.28	0	12.79
FEX_0002196	0.08	0.26	0.37	1.66	0.2	1.49	0.15	0.23	0.09	0.44	0.25	0.11	0.12	0.08	NA	0.07	0.08	0.05	0.54	0.07
FEX_0002197	0.08	0.26	0.37	1.66	0.2	1.49	0.15	0.23	0.09	0.44	0.25	0.11	0.12	0.08	NA	0.07	0.08	0.05	0.54	0.07
FEX_0002199	0.05	0.19	0.24	1.27	0.2	1.26	0.18	0.24	0.22	0.36	0.32	0.25	0.3	0.1	0.03	0.06	0.06	0.03	0.81	0.11
FEX_0002200	0	0	0.04	0.14	0.17	NA	0.21	0.21	0.36	NA	0.62	0.29	0.41	0	0.05	NA	0.01	0	1.24	0.17
FEX_0002201	0	0.34	0.25	1.18	0.24	0	0.21	0.32	0.16	0.1	0.14	0.39	0.53	0.25	0	0	0	0	0.67	0.15
FEX_0002202	33.43	33.7	33.96	0.15	0	0.86	4.55	0.82	50.04	0.6	0	9.22	21.82	0	NA	25.11	0	5.48	0	6.89
FEX_0002203	0.68	NA	0	NA	NA	1.71	0	0	0.63	0.22	0	NA	NA	0	NA	NA	NA	NA	NA	0
FEX_0002204	0.81	0.1	0.37	0.29	0.09	0.78	0.22	0.25	1.46	0.56	0.32	0.28	0.3	0	0.05	0.1	0.05	0.21	0.18	0.19
FEX_0002205	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	0
FEX_0002206	0	0.06	0.13	NA	NA	1.21	0.09	0.35	0.33	0.31	0.31	1.02	0	0	NA	3.33	NA	0	0.15	1.82
FEX_0002207	0.31	NA	NA	0	NA	1.65	0.23	0.15	0.1	0.14	1.14	0	1.16	0	NA	0	0	0.19	0.39	0.1
FEX_0002208	0.15	0.64	0.13	NA	0	0	0	0	0.05	0	0	0.37	0.05	0	NA	0	0.05	0	0.56	0
FEX_0002209	0	1.07	0	0	NA	2.68	0	0.22	0.6	0	NA	0	0	0	0.08	NA	0	NA	NA	0
FEX_0002210	1.34	0.17	0.56	0.26	0.1	0.47	0.41	0.29	0.37	0.61	0.36	0.18	0.26	0	0	0.19	0	0.15	0.18	0.21
FEX_0002211	0.28	0.19	0.2	0.05	0.13	1.21	0.24	0.45	0.38	0.21	0.31	0.38	0.22	0.13	0.1	0.28	0.15	0.15	0.15	0.25
FEX_0002212	NA	NA	NA	NA	NA	NA	0	0	NA	1.78	NA	0	0	0	NA	NA	NA	NA	33.33	NA
FEX_0002213	0	NA	0.14	1.54	0.09	1.19	0.14	0.15	0	0.28	0	0.38	1.26	0.08	NA	0	0	0	0	0.35
FEX_0002214	0	NA	0.12	0.5	NA	0.4	0.19	0.15	0	0.28	0	0	1.54	0.08	NA	0	NA	0	NA	0.78
FEX_0002215	NA	NA	0.12	0	NA	1.34	NA	0	NA	1.39	1.16	0	NA	0	NA	NA	0.14	NA	NA	0
FEX_0002216	NA	NA	NA	NA	NA	5.38	NA	0	0	0	NA	NA	0.12	0	NA	NA	NA	0.85	0	0
FEX_0002217	0.1	NA	0.71	0.47	NA	1.27	0.58	0.66	0.19	NA	1.28	NA	0	0	0	0	0	0.3	0.32	0.48
FEX_0002218	0.1	NA	0.71	0.47	NA	1.27	0.58	0.66	0.19	NA	1.28	NA	0	0	0	0	0	0.3	0.32	0.48
FEX_0002219	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	100	98.28	0	NA	NA	NA	NA	NA	100
FEX_0002220	0.06	NA	0	13.89	NA	0	1.85	0.97	0.11	0	0.62	0	0.09	0	NA	0.09	0.19	0	NA	0
FEX_0002221	0.15	0.19	0.24	1.59	0.14	1.9	1.11	0.32	0.19	0.7	0.34	0.24	1.09	0.21	0.07	0.12	0.03	0.29	1.9	0.13
FEX_0002222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	NA
FEX_0002223	0.28	0.17	0.16	0	0	0.95	0.13	0.92	0.28	0.2	0.08	0.53	0.14	0.34	0.06	0.22	0.3	0.25	0.05	0.3
FEX_0002224	NA	NA	0.35	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.34	NA	NA	0.36	0.55	NA	2.15
FEX_0002225	0	0	0	0	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	0
FEX_0002226	0	NA	0.68	6.41	0	2.78	NA	0.47	0	0.2	0.2	0.44	0	0	0	0.76	0	0.91	NA	0.47
FEX_0002227	0.03	0.06	0.09	0.12	0.61	2.01	0.36	2.38	0.08	0.2	0.3	0.24	0.23	0.11	0.04	0.16	0.09	0.2	0.15	0.08
FEX_0002228	0	0.15	0.35	0	NA	1.43	0.08	0.04	0.24	0.61	0.51	0.37	1.75	0.09	2.07	0.07	5.71	0.38	0.26	0.18
FEX_0002229	0	NA	NA	NA	NA	1.55	0	0.13	0.56	6.67	0.31	0.06	0	0	4.83	0	7.14	0	0.26	0.4
FEX_0002230	0.3	1.28	0.32	0	NA	7.14	0	0	0.05	0	0	1.75	0	0	NA	0.06	NA	0.14	NA	0
FEX_0002231	0.16	0.68	0.48	1.37	0	3.38	0.2	0.26	0.16	0.14	0.24	1.27	0.06	2.52	0.62	0.03	0.02	0.21	0.18	0.37
FEX_0002232	0	0.1	0	0	NA	0.83	0.11	0	0.03	0	0.77	0.45	0.23	0.14	0	0.11	0	0.22	0.26	0.12
FEX_0002233	NA	0	0.12	NA	NA	1.99	0	0.33	0.3	0.06	0.47	0	0.47	0	0	0.48	0	0.26	0.33	0.11
FEX_0002234	0.18	0	NA	0	NA	1.78	0.58	0.87	0.47	0.49	0.54	0.34	0	0	0.05	NA	0.05	0.31	0.21	0.15
FEX_0002235	0.47	0.52	0.06	0	0	1.07	0.35	0.76	0.23	0.17	2.96	1.33	0.11	0.01	0.07	0.26	0.02	0.33	0.11	0.31
FEX_0002236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA
FEX_0002237	0.12	NA	NA	NA	NA	NA	2.94	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1.03
FEX_0002238	0.12	NA	NA	NA	NA	NA	2.94	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1.03
FEX_0002239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	0	0
FEX_0002240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26	NA	NA	NA	0	0
FEX_0002242	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0002244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0002245	0	NA	0	0	NA	2.7	0.73	8.33	0.24	NA	NA	0.5	0	0	NA	0.09	NA	1.12	NA	NA
FEX_0002246	0.19	0	0.3	0	0	1.66	0.72	0.13	1.16	0.08	1.11	0.18	0.22	0.17	0.06	0.36	0.34	0	0.37	0.29
