cluster	color	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0001647	darkturquoise	0.165514438477573	0.0769610411361284	NA	0.113328685307003	0.0861776962410524	0.322083499169113	0.343589704390077	0.336472236621213	0.0392207131532813	0.0198026272961797	0.0861776962410524	NA	0.0198026272961797	0.139761942375159	0.048790164169432	NA
FEX_0001656	darkgrey	NA	0.0198026272961797	0.314810739840034	NA	0.0198026272961797	0.122217632724249	0.285178942233662	0.0769610411361284	NA	0.0198026272961797	0.0861776962410524	0.0582689081239758	NA	0.0582689081239758	0.0198026272961797	0.113328685307003
FEX_0001661	grey	1.95868534054404	0.810930216216329	1.36609165380237	2.07442899985629	1.63119940421561	2.14124194258528	1.90359895098359	0.966983846189673	2.30856716467159	2.71137799119488	2.70738331211451	2.90032208874933	2.905807566026	2.34468626901268	2.62103882411258	2.18267479632149
FEX_0001662	grey	1.07840958135059	1.67147330335355	1.24703229378638	1.27536280041261	1.67335123817775	2.08069076108027	1.7732559976635	1.62334081760309	2.15640258281596	2.20386912005489	1.69927861643389	1.48387468945875	1.83258146374831	1.77664583141801	2.33020026002702	1.60743590976343
FEX_0001663	lavenderblush3	2.50470927708418	2.85474458025301	2.76443053453832	3.12632184325759	1.83418018511201	2.58021682959233	1.71739505393919	1.70110510095992	2.76568998054862	2.35517754311322	3.37382618486602	2.82731362192903	3.17262244035074	2.7239235502585	2.41947884446554	3.35235721624268
FEX_0001664	grey	1.91692261218206	1.66013102674962	1.71739505393919	2.39333945626251	1.63510565918268	2.33505228313155	1.93585981320181	1.79009141212736	2.31055326264322	1.90954250488444	3.26575941076705	2.37397508908072	2.44927947214485	2.53528285711307	2.3832429960115	2.01623546577604
FEX_0001665	blue	3.54529772563591	3.53631085546933	2.97195174488859	3.90136642523962	3.9887988442302	3.54760386675598	3.63837532194017	3.46573590279973	3.89893776587949	3.65221546974235	3.28053520525493	3.3603753871419	2.93757335938046	3.55934008275895	3.80688468730484	1.95586047990848
FEX_0001666	darkmagenta	2.77881927199042	3.21406426787098	3.10950728781284	3.09240516081425	2.54317555791198	2.75047091698616	1.9213246735827	2.14943391349987	2.33408376005342	2.73954886816158	2.49650578563135	2.70938264633599	2.98870765861703	2.6475922320651	2.50552593699074	2.81959157583512
FEX_0001667	darkred	0.350656871613169	0.418710334858185	NA	NA	0.19062035960865	0.336472236621213	NA	0.62057648772511	0.0861776962410524	0.215111379616945	NA	0.148420005118273	0.0769610411361284	NA	0.0861776962410524	NA
FEX_0001669	violet	NA	NA	0.0861776962410524	0.0392207131532813	NA	0.0861776962410524	NA	NA	0.371563556432483	0.19062035960865	1.02961941718116	0.113328685307003	NA	0.0295588022415444	0.350656871613169	0.559615787935423
