cluster 	color	NQ1	NQ2	NQ3	NQ4	NQ5	NQ6	NW1	NW2	NW3	NW4	NW5	NW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0012340	 mediumpurple3	0.33	NA	1.82	0.42	0	3.34	20.83	33.33	NA	41.52	0.6	0	0	0.5	NA	NA	0	0.3	NA	33.84
FEX_0012341	 brown	0	NA	NA	0	NA	NA	0.47	0.38	0.14	0	NA	NA	0.98	0	NA	NA	0	NA	0	0
FEX_0012342	 darkolivegreen	0.08	0.1	0.4	0	NA	4.46	0	0.09	0.39	0.18	0	0.2	0.02	0.31	0.09	0	0.02	0.19	0.57	0.33
FEX_0012343	 darkolivegreen	0	0	0.58	0	NA	4.46	0	0	0.16	0.35	0	0.13	0.02	0.52	NA	0	0	0.21	0.57	0.4
FEX_0012344	 darkolivegreen	0.06	0.04	0.39	0	NA	4.17	0.26	0.09	0.18	NA	0.42	0.4	0.02	0	NA	0	0	0.29	0.09	0.46
FEX_0012345	 darkolivegreen	0	0	NA	0.15	0	1.13	0.16	0.28	0	NA	1.15	0.18	0.04	0	NA	0.03	0.13	0.29	0	0.1
FEX_0012346	 darkmagenta	0.09	0.1	0.31	1.02	0.2	2.18	0.37	0.24	0.21	7.09	1.43	0.83	0.3	0.06	0.06	0.09	0.03	0.19	0.19	0.24
FEX_0012347	 grey	0.06	0.17	0.38	0.28	0.27	NA	0.07	0.22	0.26	0.24	NA	0.31	0.25	0.22	0.14	NA	0.04	0.26	0.23	0.19
FEX_0012348	 darkred	6.71	12.74	0.03	16.7	25.08	3.49	6.95	17.11	0	16.97	0.95	3.24	5.04	8.33	0.39	7.16	0.02	30.46	43.37	12.37
FEX_0012350	 darkolivegreen	0.08	0.5	0.02	0	0.06	1.49	0.26	0.06	0.13	0.28	0.41	0.22	0.53	0.14	0.09	0.1	0.01	0.08	0.31	0.76
FEX_0012351	 lightsteelblue1	0.27	50	28.7	0.3	NA	NA	0	65.89	0.31	1.06	20	0.12	22.46	0	NA	50	NA	0.25	0.1	0.08
FEX_0012352	 lightsteelblue1	0.2	0.06	0.28	0.48	0.03	0.28	0.04	6.86	0.35	0.58	0.41	0.28	0.03	0	0	0.06	0	0.14	0.05	0.1
FEX_0012355	 purple	0.04	1.2	0.13	1.06	0.22	1.13	0.44	0.29	0.11	0.34	0.24	0.14	0.02	0.04	0.09	0.05	0.13	1.71	0.3	2.29
FEX_0012356	 purple	0.08	1.15	0.09	0.92	0.27	1.01	0.35	0.27	0.11	0.24	0.21	0.38	0.13	0.03	0.07	0.05	0.15	0.97	0.26	1.56
FEX_0012357	 darkolivegreen	0.02	0	0.11	0.11	0.17	1.75	0.84	0	0.44	0.19	0.07	0	0	0	NA	0.09	0.13	0.17	0.26	0.07
FEX_0012358	 darkolivegreen	0.02	0	0.34	0.14	0.15	1.54	0.53	0	0.22	0.22	0.2	0.61	0	0	NA	0.09	0.13	0.17	0.66	0.06
FEX_0012359	 darkgrey	14.63	0	50.2	0	NA	1.75	0	0.12	16.72	NA	0.46	NA	0.18	0.05	NA	NA	0	24.8	0.23	9.73
FEX_0012361	 darkred	0.22	0.15	0.16	0.72	0.28	1.91	0.34	0.38	0.23	0.25	0.27	0.28	0.52	0.89	0.04	0.12	0.13	0.14	3.6	0.78
FEX_0012363	 blue	0	0.22	0	0.59	0.27	1.49	0.24	0.12	0.32	0	0	0.31	0.06	4.37	0	0	0.03	0	0	0.19
FEX_0012364	 brown	0	0.28	0.28	0.22	0	1.06	0.43	0.25	0.34	0.13	0.22	0.86	1.63	0.02	0.08	0.2	0.09	0.07	0.18	0.36
FEX_0012365	 salmon	0.98	0	0	NA	0.27	2.07	0.19	0.23	0.14	0.08	NA	0	0.49	0	NA	NA	0.02	0.17	NA	0.31
FEX_0012366	 darkolivegreen	0.43	0	0.13	0	0	2.73	0.89	0.31	0.11	0.18	0.27	0.27	0.04	0.03	0	0.09	0.17	0.19	0.1	0.2
FEX_0012367	 red	0.15	0.28	0	1.92	1.31	1.16	0.21	0.37	NA	NA	0	0	0.25	0.11	0.04	0.38	0.36	0.14	NA	0.09
FEX_0012368	 darkolivegreen	0	0	0.23	0.17	0.21	4	0.33	0.96	0.13	0.39	0.63	0	0.19	0	NA	0	NA	0.41	0	0.24
FEX_0012369	 green	0.01	0.23	0.34	0	0.22	1.01	3.22	0.12	0.09	4.34	5.89	0.16	0.44	0.02	0	0.27	0	0.07	0.22	0.41
FEX_0012372	 darkolivegreen	0	0.08	0.62	0	NA	5.7	0.08	0	0.06	0.8	0.05	0	0.32	0	NA	0.17	0.07	0	NA	0.6
FEX_0012373	 darkolivegreen	0	0.25	0.65	0.55	0.3	2.13	0.15	0.32	0.37	0.09	1.06	0.2	2.26	0.24	0.09	0.06	0.04	0.11	0.12	0.25
FEX_0012374	 darkred	0.23	NA	0	0.15	NA	NA	0	0	0.43	NA	NA	NA	0.15	0.07	NA	NA	0	0	0.3	0
FEX_0012376	 brown	0	4.8	0.92	0.1	0.21	1.78	0.24	0.43	0.11	0.05	0.92	0.15	2.95	0.11	0.16	0.05	2.78	0.07	0.1	0.31
FEX_0012377	 blue	0.28	0.13	0.53	0.14	0.12	2.85	0.08	0.28	0.29	0.44	0.25	0.36	0.15	2.62	0	0.09	0.09	0.22	0.15	0.07
FEX_0012378	 skyblue	0	NA	0.3	NA	0.26	1.03	0.45	0.25	0.15	0	0.12	0	0.88	0.46	0.16	0.09	5.88	0.16	0.06	0.47
FEX_0012379	 darkolivegreen	0.25	0.18	0.1	0.22	0.02	2.18	1	0.61	0.27	0.5	0.24	0.3	0.32	0.03	0.03	0.06	0.08	0.21	0.13	0.33
FEX_0012380	 mediumpurple3	0.88	0.14	NA	0.1	NA	NA	0.29	0.18	0	NA	NA	0.15	0.16	0	NA	0	0.05	0	0	0.71
FEX_0012381	 red	0.09	0	0	80.27	0	5.56	3.61	14.05	0.18	0.21	3.34	0.61	14.29	0	0.09	0	0.01	0.55	25.05	8.05
FEX_0012382	 skyblue	0	0	0	0	0	2.5	6.52	0.05	0.55	0	0.05	12.7	0.51	0	0	0.04	40	0.22	0.33	0.28
FEX_0012385	 black	0.77	0.36	0.26	0.94	0.37	2.01	0	0.13	0.01	0.4	0.4	9.4	0.14	0	0.06	0.12	0.02	0	0.28	0.12
FEX_0012386	 blue	NA	NA	NA	0	NA	8.33	0	0	0.62	0.14	0	0	NA	6.25	0	NA	NA	0	NA	0.18
FEX_0012387	 darkolivegreen	0.1	0.52	0.4	NA	0.21	4.24	0	0.07	0	NA	NA	0	0.13	0	0	0.06	0	1.44	0	0
FEX_0012389	 darkolivegreen	0.06	0.21	NA	0	NA	NA	0.24	0.6	0.46	NA	0.64	0.14	0	0	0	0	NA	0.18	NA	0.44
FEX_0012390	 darkolivegreen	NA	0.12	0.49	0	NA	2.17	0.22	2.7	0.07	0	0.93	0	0.31	0.2	0	0	0.14	0	0.1	0.38
FEX_0012391	 darkolivegreen	NA	0.12	0.49	0	NA	2.17	0.22	2.7	0.07	0	0.93	0	0.31	0.2	0	0	0.14	0	0.1	0.38
FEX_0012394	 blue	0	0	0.1	NA	NA	3.29	0.44	0	0	NA	0	0.23	0.06	4.5	0	0.3	0.02	NA	0.25	0
FEX_0012396	 darkolivegreen	0.13	0	NA	NA	NA	1.34	0	0.18	NA	NA	0	0	0.05	0.08	0.05	0.07	0.2	NA	NA	0.07
FEX_0012398	 darkolivegreen	0	0.14	0.3	NA	NA	NA	0.13	0.38	NA	0	NA	NA	0.37	0	0.1	0.18	0.1	NA	0	0.16
FEX_0012401	 mediumpurple3	1.9	0.08	0.18	0.34	0.19	1.18	0.11	0.47	0.42	0.12	0.34	0.2	0.23	0.12	0	0.31	0.86	0	0.28	4.75
FEX_0012403	 darkolivegreen	0	0.1	0.09	0	0	1.19	0.29	0.24	0.32	0.05	0.09	0	0.37	0	0.12	0.12	0.02	0	0.1	0.73
FEX_0012404	 darkolivegreen	0.06	0	0	0.07	0.32	3.57	0	0.28	0	0	NA	0	0.24	0.02	NA	0.23	0.07	0.32	0	0
FEX_0012405	 darkolivegreen	0	NA	NA	0.22	0.16	3.57	0.2	0	0	0	0.3	0	0.19	0	NA	0.18	0	0	NA	0
FEX_0012406	 darkolivegreen	0.04	0.48	10	0.2	0.3	5.62	0.03	0.18	0.29	0.52	0.68	0.15	9.09	0.29	0.47	0.04	0.06	0.21	0	4.26
FEX_0012407	 blue	0	0.19	16.67	0.2	NA	2.22	0.07	28.35	25.5	0	NA	0.07	0	40	NA	0.05	0.08	0.04	0	12.58
FEX_0012409	 darkolivegreen	0.99	0.35	0.05	NA	0.12	4.95	0	0	1.33	0.26	NA	0.38	0.08	0	0	NA	0	0	NA	0.72
FEX_0012410	 darkolivegreen	0.46	0.35	0.05	NA	0.12	4.95	0	0	1.33	0.26	NA	0.38	0.08	0	0	NA	0	0	NA	0.29
